ch,freq,Age
000000010000010000000,10,Juv
000000010000001000000,4,Juv
000000010000000100000,8,Juv
000000010000000010000,1,Juv
000000010000000001000,1,Juv
000000001100000000000,74,Juv
000000001010000000000,21,Juv
000000001001000000000,17,Juv
000000001000100000000,14,Juv
000000001000010000000,11,Juv
000000001000001000000,8,Juv
000000001000000100000,9,Juv
000000001000000010000,6,Juv
000000001000000001000,3,Juv
000000001000000000100,1,Juv
000000001000000000010,1,Juv
000000000110000000000,81,Juv
000000000101000000000,28,Juv
000000000100100000000,25,Juv
000000000100010000000,19,Juv
000000000100001000000,14,Juv
000000000100000100000,13,Juv
000000000100000010000,9,Juv
000000000100000001000,6,Juv
000000000100000000100,5,Juv
000000000100000000010,2,Juv
000000000100000000001,2,Juv
000000000011000000000,67,Juv
000000000010100000000,16,Juv
000000000010010000000,11,Juv
000000000010001000000,11,Juv
000000000010000100000,11,Juv
000000000010000010000,10,Juv
000000000010000001000,2,Juv
000000000010000000100,1,Juv
000000000001100000000,71,Juv
000000000001010000000,33,Juv
000000000001001000000,17,Juv
000000000001000100000,15,Juv
000000000001000010000,7,Juv
000000000001000001000,6,Juv
000000000001000000100,1,Juv
000000000001000000010,5,Juv
000000000000110000000,68,Juv
000000000000101000000,28,Juv
000000000000100100000,17,Juv
000000000000100010000,11,Juv
000000000000100001000,13,Juv
000000000000100000100,5,Juv
000000000000100000010,8,Juv
000000000000100000001,4,Juv
000000000000011000000,82,Juv
000000000000010100000,34,Juv
000000000000010010000,23,Juv
000000000000010001000,13,Juv
000000000000010000100,9,Juv
000000000000010000010,7,Juv
000000000000010000001,3,Juv
000000000000001100000,74,Juv
000000000000001010000,30,Juv
000000000000001001000,13,Juv
000000000000001000100,15,Juv
000000000000001000010,8,Juv
000000000000001000001,7,Juv
000000000000000110000,75,Juv
000000000000000101000,29,Juv
000000000000000100100,17,Juv
000000000000000100010,17,Juv
000000000000000100001,13,Juv
000000000000000011000,61,Juv
000000000000000010100,35,Juv
000000000000000010010,24,Juv
000000000000000010001,13,Juv
000000000000000001100,62,Juv
000000000000000001010,31,Juv
000000000000000001001,22,Juv
000000000000000000110,59,Juv
000000000000000000101,36,Juv
000000000000000000011,99,Juv
